Label,Area,Perimeter,Eccentricity,Solidity,Equivalent Diameter,Centroid_x,Centroid_y,min_intensity,max_intensity,mean_intensity
1,1921.0,188.6274169979695,0.7682001218022406,0.9453740157480315,49.455971989601494,33.06767308693389,16.578344612181155,0.6022455096244812,1.0,0.8641604
2,2969.0,238.42640687119285,0.839808994406191,0.9172072907012666,61.483723116925006,97.65914449309531,19.07881441562816,0.6388121843338013,0.9967482686042786,0.93126756
3,8318.0,442.40306627407995,0.8978891879771395,0.8605421063521622,102.91164430280513,218.07802356335657,29.941933157008897,0.6200380325317383,1.0,0.91965187
4,8712.0,438.7462120245875,0.8260960913499735,0.9035469819539514,105.32076202597823,340.1432506887052,34.34607438016529,0.59028160572052,1.0,0.8971823
5,97.0,69.24264068711928,0.9945448118105374,0.8508771929824561,11.11324596323283,42.649484536082475,36.4639175257732,0.6337811946868896,0.941284716129303,0.8068771
6,57.0,27.313708498984763,0.4927363134528485,0.9047619047619048,8.51907589177983,10.298245614035087,37.70175438596491,0.6563593149185181,0.782808780670166,0.7316432
7,170.0,86.97056274847715,0.9895486385965475,0.6772908366533864,14.712264360219255,43.98235294117647,39.758823529411764,0.6816369295120239,0.9976072311401367,0.8631775
8,100.0,70.48528137423857,0.9960267741846496,0.8695652173913043,11.283791670955125,82.01,41.47,0.6596110463142395,0.9945395588874817,0.90004915
9,16.0,12.207106781186548,0.8514055971008102,0.9411764705882353,4.51351666838205,2.1875,41.9375,0.6820663809776306,0.7830541729927063,0.7011166
10,89.0,62.48528137423857,0.9948787577238682,0.8725490196078431,10.645107772184812,41.13483146067416,43.550561797752806,0.7380207180976868,0.9986502528190613,0.9142306
11,99.0,69.07106781186548,0.9958831165066183,0.868421052631579,11.227230955528665,84.79797979797979,44.57575757575758,0.7338486909866333,0.9945395588874817,0.9022799
12,33.0,31.0,0.9995398526410995,0.6875,6.4820448144285745,85.36363636363636,46.63636363636363,0.7347689867019653,0.9945395588874817,0.8747553
13,177.0,94.59188309203678,0.9880326969989427,0.5959595959595959,15.012108426804138,75.46892655367232,47.0,0.6470335721969604,0.9952144026756287,0.8545861
14,74.0,71.62132034355965,0.9985285146875487,0.8131868131868132,9.706684619910241,81.20270270270271,51.08108108108108,0.6475244164466858,0.9952757954597473,0.8325407
15,537.0,118.32590180780453,0.8597375119997448,0.7306122448979592,26.148224328293928,29.521415270018622,50.01117318435754,0.5825510621070862,1.0,0.8599567
16,69.0,66.41421356237309,0.9982681022000562,0.8117647058823529,9.373021315815206,81.43478260869566,53.130434782608695,0.6562365889549255,0.9764402508735657,0.8392201
17,30.0,27.621320343559642,0.9898219451991798,0.8333333333333334,6.180387232371033,17.2,58.13333333333333,0.7840358018875122,1.0,0.94194126
18,221.0,59.48528137423857,0.6641680737734522,0.8911290322580645,16.774562271083887,8.46606334841629,54.2579185520362,0.5734094381332397,1.0,0.73421764
19,33.0,30.82842712474619,0.9925330123511656,0.8461538461538461,6.4820448144285745,39.0,56.0,0.9973617792129517,0.9993864893913269,0.99836016
20,18.0,16.0,0.9982816351111093,0.6923076923076923,4.787307364817192,38.111111111111114,57.611111111111114,0.7747714519500732,0.9993864893913269,0.93270546
21,249.0,169.0710678118655,0.9993343960292052,0.8615916955017301,17.805522925178455,211.24899598393574,60.273092369477915,0.6796736121177673,1.0,0.9247853
22,26.0,23.621320343559642,0.9859804644253694,0.8125,5.753627391751592,9.307692307692308,62.88461538461539,0.6860543489456177,0.9835572838783264,0.7930194
23,3844.0,288.5512985522207,0.9174471826020979,0.8752276867030966,69.95950835992178,217.90790842872008,81.89125910509885,0.5971531867980957,1.0,0.9262026
24,29.0,26.82842712474619,0.9902751308747043,0.8285714285714286,6.076507779746499,10.0,65.0,0.6617583632469177,0.9149027466773987,0.7615361
25,173.0,117.86396103067892,0.9986514576403996,0.865,14.841510746523857,330.1098265895954,72.32369942196532,0.6326768398284912,0.9974845051765442,0.8886123
26,173.0,117.86396103067892,0.998668261477731,0.865,14.841510746523857,327.1329479768786,75.39306358381504,0.6703478693962097,0.996625542640686,0.87773424
27,230.0,120.69238815542512,0.9976300974540848,0.8914728682170543,17.112717355495807,323.3695652173913,78.97391304347826,0.6563593149185181,0.9968709945678711,0.8504555
28,173.0,117.86396103067892,0.9986774814087848,0.8606965174129353,14.841510746523857,320.1849710982659,82.54913294797687,0.6567274332046509,0.9968709945678711,0.88301414
29,369.0,96.38477631085024,0.944234055554487,0.803921568627451,21.675455981530703,5.048780487804878,80.57723577235772,0.6105896234512329,1.0,0.8589785
30,43.0,40.82842712474619,0.9955569007101347,0.8269230769230769,7.399277020331919,8.883720930232558,87.44186046511628,0.7126203775405884,1.0,0.7717224
31,44.0,41.621320343559645,0.9957594319145581,0.8148148148148148,7.48482063701911,11.022727272727273,85.75,0.6011411547660828,1.0,0.74416727
32,173.0,117.86396103067892,0.9986644734355022,0.8606965174129353,14.841510746523857,316.8728323699422,85.6242774566474,0.6305908560752869,0.9969936609268188,0.86135864
33,44.0,41.621320343559645,0.9956724995099537,0.8301886792452831,7.48482063701911,13.159090909090908,83.81818181818181,0.6016319990158081,1.0,0.7785238
34,173.0,117.86396103067892,0.9986469238822578,0.8606965174129353,14.841510746523857,313.8959537572254,88.69364161849711,0.6715749502182007,0.9971163868904114,0.8696427
35,4386.0,329.0782104868019,0.7533783967581047,0.7895589558955896,74.72903480715125,65.96169630642954,90.41632466940264,0.5696054697036743,1.0,0.88251483
36,254.0,132.69238815542514,0.9980466399487248,0.8912280701754386,17.983404693292407,244.60236220472441,98.91338582677166,0.6100987792015076,1.0,0.9325704
37,2262.0,215.3797256769669,0.8974451227210105,0.8815276695245519,53.66626361310184,31.968611847922194,110.9420866489832,0.596723735332489,0.9996932148933411,0.9056552
38,322.0,137.52081528017132,0.9970564851230601,0.9121813031161473,20.248040236149336,239.6024844720497,103.50621118012423,0.682250440120697,1.0,0.9049402
39,77.0,53.656854249492376,0.9929171330037514,0.8651685393258427,9.901487006738307,125.48051948051948,107.50649350649351,0.6434137225151062,0.8639180064201355,0.7701986
40,258.0,134.69238815542514,0.9981070687574006,0.8896551724137931,18.12445316531431,235.14728682170542,108.09302325581395,0.6274004578590393,0.9996932148933411,0.9099234
41,66.0,63.621320343559645,0.9980763251396647,0.8148148148148148,9.166995688475081,87.72727272727273,117.62121212121212,0.668998122215271,0.9988956451416016,0.88921887
42,69.0,49.07106781186547,0.9913365071122473,0.8734177215189873,9.373021315815206,122.5072463768116,108.18840579710145,0.6933554410934448,0.9788944125175476,0.8042452
43,1137.0,153.19595949289334,0.8264125870253279,0.8841368584758943,38.0483030155601,171.22867194371153,107.61653474054529,0.5892385840415955,0.9988956451416016,0.84517115
44,122.0,81.6923881554251,0.9965268248951159,0.7484662576687117,12.463355264843006,90.18032786885246,119.09016393442623,0.6717590093612671,0.9988343119621277,0.8666019
45,1235.0,159.15432893255073,0.7621147430300791,0.8834048640915594,39.65414023463283,106.0,113.13927125506073,0.6242100596427917,0.9987115859985352,0.84482247
46,326.0,104.72792206135786,0.9890554221242976,0.9287749287749287,20.37341629633241,156.5245398773006,111.86196319018404,0.6220013499259949,0.9711025357246399,0.75449055
47,916.0,133.698484809835,0.7135991615926003,0.8919182083739046,34.15095054280933,140.9552401746725,109.3264192139738,0.49984660744667053,0.9853365421295166,0.7677107
48,2229.0,208.56854249492383,0.9093121581298237,0.9661898569570871,53.27336055867583,399.7554957379991,104.31583669807088,0.5821829438209534,0.9993864893913269,0.8567671
49,3086.0,245.81118318204307,0.5479990393775497,0.8644257703081233,62.68346859462,226.44685677252107,135.4549578742709,0.5489907264709473,1.0,0.87780976
50,3463.0,303.19595949289334,0.8846621516616053,0.7390098164746052,66.40202213350034,327.2307248050823,127.99884493213976,0.6388121843338013,0.9998772740364075,0.89645153
51,702.0,214.97056274847716,0.9975762872875632,0.9335106382978723,29.896724911001275,351.51424501424503,128.6908831908832,0.6409595608711243,0.9984048008918762,0.9084923
52,749.0,228.72792206135787,0.9978750585186923,0.9292803970223326,30.881327999401787,358.5086782376502,125.48331108144193,0.6075219511985779,0.9981594085693359,0.8740912
53,3684.0,324.3380951166243,0.9350377462491348,0.8107394366197183,68.48806087782263,380.46362649294247,138.7100977198697,0.6069697737693787,0.998772919178009,0.883332
54,151.0,60.72792206135786,0.9625637925419901,0.9096385542168675,13.86575534383214,136.52980132450332,128.98675496688742,0.6386895179748535,0.9973617792129517,0.82602113
55,88.0,85.62132034355965,0.9989375578434911,0.8148148148148148,10.585134856802455,254.67045454545453,141.0909090909091,0.641634464263916,0.9993250966072083,0.8759587
56,26.0,23.621320343559642,0.9871897123696988,0.8387096774193549,5.753627391751592,23.0,128.76923076923077,0.819130003452301,0.9934965372085571,0.9371976
57,16.0,13.621320343559642,0.9648119846208285,0.8888888888888888,4.51351666838205,116.25,129.9375,0.7925639748573303,0.9549665451049805,0.8174313
58,412.0,84.5269119345812,0.6175498187726897,0.9217002237136466,22.903595622322865,178.9902912621359,136.0242718446602,0.6555616855621338,0.9971163868904114,0.80996245
